Iteration,Fitness,CAPPV,CPV,EBESS,CBESS,Total_Cost
26,599893863.7422,16915.9133,21081537.9344,9122.0579,7769105.2878,28850643.2222
27,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
28,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
29,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
30,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
31,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
32,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
33,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
34,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
35,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
36,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
37,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
38,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
39,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
40,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
41,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
42,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
43,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
44,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
45,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
46,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
47,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
48,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
49,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
50,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
51,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
52,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
53,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
54,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
55,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
56,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
57,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
58,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
59,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
60,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
61,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
62,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
63,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
64,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
65,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
66,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
67,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
68,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
69,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
70,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
71,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
72,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
73,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
74,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
75,598347040.6383,16836.1507,20981838.0624,9137.9189,7754186.4159,28736024.4783
